target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
1070,0,1000,1020.3,-0.0115905,1016.02
1070,0,1000,1021.23,-0.0112813,1015.7
1070,1.49999,1000,1022.16,-0.0109747,1015.38
1069.99,2.99995,1000,1023.1,-0.0106706,1015.05
1069.97,4.49983,1000,1024.03,-0.0103689,1014.73
1069.94,5.9996,1000,1024.96,-0.0100697,1014.4
1069.91,7.49922,1000,1025.89,-0.00977258,1014.08
1069.87,8.99865,1000,1026.82,-0.00947582,1013.76
1069.82,10.4979,1000,1027.76,-0.00917875,1013.43
1069.76,11.9968,1000,1028.69,-0.00862949,1013.11
1069.7,13.4954,1000,1029.62,-0.00688588,1012.79
1069.63,14.9938,1000,1030.55,-0.00223456,1012.47
1069.55,16.4917,1000,1031.49,0.0074174,1012.15
1069.46,17.9892,1000,1032.42,0.0240849,1011.83
1069.37,19.4863,1000,1033.35,0.0496506,1011.51
1069.27,20.9829,1000,1034.27,0.0858466,1011.2
1069.16,22.4789,1000,1035.19,0.134091,1010.89
1069.04,23.9744,1000,1036.11,0.195665,1010.58
1068.92,25.4693,1000,1037.02,0.272095,1010.28
1068.79,26.9636,1000,1037.91,0.36537,1009.98
1068.65,28.4572,1000,1038.8,0.477973,1009.69
1068.5,29.95,1000,1039.67,0.612724,1009.4
1068.35,31.4422,1000,1040.52,0.772415,1009.11
1068.19,32.9335,1000,1041.36,0.959288,1008.83
1068.02,34.424,1000,1042.18,1.17474,1008.55
1067.84,35.9137,1000,1042.98,1.41953,1008.28
1067.66,37.4024,1000,1043.76,1.69398,1008.02
1067.47,38.8902,1000,1044.52,1.99813,1007.76
1067.27,40.3771,1000,1045.26,2.3319,1007.51
1067.06,41.8629,1000,1045.98,2.69506,1007.27
1066.85,43.3477,1000,1046.68,3.08753,1007.03
1066.63,44.8314,1000,1047.36,3.50941,1006.8
1066.4,46.314,1000,1048.02,3.96085,1006.57
1066.17,47.7955,1000,1048.66,4.44171,1006.36
1065.93,49.2757,1000,1049.28,4.95136,1006.15
1065.68,50.7547,1000,1049.88,5.48903,1005.94
1065.42,52.2324,1000,1050.45,6.05404,1005.74
1065.15,53.7089,1000,1051.01,6.64576,1005.55
1064.88,55.184,1000,1051.55,7.26347,1005.36
1064.6,56.6577,1000,1052.07,7.90651,1005.18
1064.31,58.13,1000,1052.57,8.57438,1005.01
1064.02,59.6008,1000,1053.51,9.98269,1004.68
1063.72,61.0701,1000,1054.37,11.4839,1004.37
1063.41,62.538,1000,1055.16,13.073,1004.08
1063.09,64.0042,1000,1055.88,14.7439,1003.81
1062.77,65.4689,1000,1056.21,15.6072,1003.68
1062.44,66.9319,1000,1056.83,17.3816,1003.43
1062.1,68.3933,1000,1057.38,19.2092,1003.21
1061.75,69.8529,1000,1057.62,20.1394,1003.1
1061.4,71.3108,1000,1058.08,22.0271,1002.89
1061.04,72.7669,1000,1058.28,22.9824,1002.8
1060.67,74.2212,1000,1058.65,24.9104,1002.61
1060.3,75.6736,1000,1058.82,25.8808,1002.53
1059.92,77.1242,1000,1059.12,27.8289,1002.36
1059.53,78.5728,1000,1059.26,28.8052,1002.28
1059.13,80.0194,1000,1059.5,30.761,1002.14
1058.73,81.4641,1000,1059.6,31.7405,1002.07
